window_size,approval_ratio_threshold,TP,FN,FP,TN,FNR,FPR,TPR,rows
5,0.5,53,12,0,0,0.18461538461538463,0.0,0.8153846153846154,65
5,0.7,52,13,0,0,0.2,0.0,0.8,65
5,0.8,52,13,0,0,0.2,0.0,0.8,65
10,0.5,51,14,0,0,0.2153846153846154,0.0,0.7846153846153846,65
10,0.7,49,16,0,0,0.24615384615384617,0.0,0.7538461538461538,65
10,0.8,48,17,0,0,0.26153846153846155,0.0,0.7384615384615385,65
15,0.5,48,17,0,0,0.26153846153846155,0.0,0.7384615384615385,65
15,0.7,45,20,0,0,0.3076923076923077,0.0,0.6923076923076923,65
15,0.8,44,21,0,0,0.3230769230769231,0.0,0.676923076923077,65
