algorithm,TP,FN,FP,TN,FNR,FPR,TPR,rows
baseline,55,10,0,0,0.15384615384615385,0.0,0.8461538461538461,65
proposed,49,16,0,0,0.24615384615384617,0.0,0.7538461538461538,65
