algorithm,TP,FN,FP,TN,FNR,FPR,TPR,rows
baseline,15,86,0,0,0.8514851485148515,0.0,0.1485148514851485,101
proposed,16,85,0,0,0.8415841584158416,0.0,0.15841584158415842,101
