window_size,approval_ratio_threshold,TP,FN,FP,TN,FNR,FPR,TPR,rows
5,0.5,15,86,0,0,0.8514851485148515,0.0,0.1485148514851485,101
5,0.7,14,87,0,0,0.8613861386138614,0.0,0.13861386138613863,101
5,0.8,14,87,0,0,0.8613861386138614,0.0,0.13861386138613863,101
10,0.5,18,83,0,0,0.8217821782178217,0.0,0.1782178217821782,101
10,0.7,16,85,0,0,0.8415841584158416,0.0,0.15841584158415842,101
10,0.8,15,86,0,0,0.8514851485148515,0.0,0.1485148514851485,101
15,0.5,20,81,0,0,0.801980198019802,0.0,0.19801980198019803,101
15,0.7,17,84,0,0,0.8316831683168316,0.0,0.16831683168316833,101
15,0.8,16,85,0,0,0.8415841584158416,0.0,0.15841584158415842,101
