window_size,approval_ratio_threshold,TP,FN,FP,TN,FNR,FPR,TPR,rows
5,0.5,53,3,0,0,0.05357142857142857,0.0,0.9464285714285714,56
5,0.7,51,5,0,0,0.08928571428571429,0.0,0.9107142857142857,56
5,0.8,51,5,0,0,0.08928571428571429,0.0,0.9107142857142857,56
10,0.5,56,0,0,0,0.0,0.0,1.0,56
10,0.7,56,0,0,0,0.0,0.0,1.0,56
10,0.8,48,8,0,0,0.14285714285714285,0.0,0.8571428571428571,56
15,0.5,56,0,0,0,0.0,0.0,1.0,56
15,0.7,56,0,0,0,0.0,0.0,1.0,56
15,0.8,53,3,0,0,0.05357142857142857,0.0,0.9464285714285714,56
