algorithm,TP,FN,FP,TN,FNR,FPR,TPR,rows
baseline,8,53,0,0,0.8688524590163934,0.0,0.13114754098360656,61
proposed,5,56,0,0,0.9180327868852459,0.0,0.08196721311475409,61
