window_size,approval_ratio_threshold,TP,FN,FP,TN,FNR,FPR,TPR,rows
5,0.5,8,53,0,0,0.8688524590163934,0.0,0.13114754098360656,61
5,0.7,6,55,0,0,0.9016393442622951,0.0,0.09836065573770492,61
5,0.8,6,55,0,0,0.9016393442622951,0.0,0.09836065573770492,61
10,0.5,9,52,0,0,0.8524590163934426,0.0,0.14754098360655737,61
10,0.7,5,56,0,0,0.9180327868852459,0.0,0.08196721311475409,61
10,0.8,3,58,0,0,0.9508196721311475,0.0,0.04918032786885246,61
15,0.5,6,55,0,0,0.9016393442622951,0.0,0.09836065573770492,61
15,0.7,0,61,0,0,1.0,0.0,0.0,61
15,0.8,0,61,0,0,1.0,0.0,0.0,61
