window_size,approval_ratio_threshold,TP,FN,FP,TN,FNR,FPR,TPR,rows
5,0.5,29,26,0,0,0.4727272727272727,0.0,0.5272727272727272,55
5,0.7,28,27,0,0,0.4909090909090909,0.0,0.509090909090909,55
5,0.8,28,27,0,0,0.4909090909090909,0.0,0.509090909090909,55
10,0.5,32,23,0,0,0.41818181818181815,0.0,0.5818181818181818,55
10,0.7,30,25,0,0,0.45454545454545453,0.0,0.5454545454545454,55
10,0.8,29,26,0,0,0.4727272727272727,0.0,0.5272727272727272,55
15,0.5,34,21,0,0,0.38181818181818183,0.0,0.6181818181818182,55
15,0.7,31,24,0,0,0.43636363636363634,0.0,0.5636363636363636,55
15,0.8,30,25,0,0,0.45454545454545453,0.0,0.5454545454545454,55
