algorithm,TP,FN,FP,TN,FNR,FPR,TPR,rows
baseline,29,26,0,0,0.4727272727272727,0.0,0.5272727272727272,55
proposed,30,25,0,0,0.45454545454545453,0.0,0.5454545454545454,55
