window_size,approval_ratio_threshold,TP,FN,FP,TN,FNR,FPR,TPR,rows
5,0.5,32,0,0,0,0.0,0.0,1.0,32
5,0.7,32,0,0,0,0.0,0.0,1.0,32
5,0.8,32,0,0,0,0.0,0.0,1.0,32
10,0.5,32,0,0,0,0.0,0.0,1.0,32
10,0.7,32,0,0,0,0.0,0.0,1.0,32
10,0.8,32,0,0,0,0.0,0.0,1.0,32
15,0.5,32,0,0,0,0.0,0.0,1.0,32
15,0.7,32,0,0,0,0.0,0.0,1.0,32
15,0.8,32,0,0,0,0.0,0.0,1.0,32
