pc_time,time_utc,lat,lon,fix_quality,num_sat,hdop,altitude_m,avg_cn0
2026-05-23 11:12:06,021206.00,36.6248595,127.457486,2,12,0.58,70.6,35.18
2026-05-23 11:12:07,021207.00,36.624859666666666,127.457486,2,12,0.58,70.5,35.05
2026-05-23 11:12:08,021208.00,36.624859666666666,127.45748633333332,2,12,0.58,70.4,35.02
2026-05-23 11:12:09,021209.00,36.62485983333333,127.45748649999999,2,12,0.58,70.3,35.38
2026-05-23 11:12:10,021210.00,36.62486,127.45748683333335,2,12,0.58,70.3,35.27
2026-05-23 11:12:11,021211.00,36.624860166666664,127.457487,2,12,0.58,70.2,35.25
2026-05-23 11:12:12,021212.00,36.62486033333333,127.45748733333333,2,12,0.59,70.1,35.3
2026-05-23 11:12:13,021213.00,36.6248605,127.4574875,2,12,0.59,69.8,35.04
2026-05-23 11:12:14,021214.00,36.62486066666667,127.45748783333332,2,12,0.59,69.6,35.09
2026-05-23 11:12:15,021215.00,36.62486066666667,127.45748816666668,2,12,0.59,69.5,34.75
2026-05-23 11:12:16,021216.00,36.62486083333333,127.45748833333333,2,12,0.59,69.3,35.36
2026-05-23 11:12:17,021217.00,36.62486083333333,127.45748833333333,2,12,0.59,69.2,35.4
2026-05-23 11:12:18,021218.00,36.624861,127.45748816666668,2,12,0.59,69.2,35.55
2026-05-23 11:12:19,021219.00,36.62485983333333,127.45748966666666,2,12,0.59,69.5,35.62
2026-05-23 11:12:20,021220.00,36.62485883333333,127.45749150000002,2,12,0.59,69.6,35.33
2026-05-23 11:12:21,021221.00,36.624858,127.45749266666665,2,12,0.59,69.9,35.31
2026-05-23 11:12:22,021222.00,36.624857,127.4574935,2,12,0.59,70.0,35.25
2026-05-23 11:12:23,021223.00,36.624857166666665,127.45749366666665,2,12,0.64,69.9,34.84
2026-05-23 11:12:24,021224.00,36.624856333333334,127.45749499999998,2,12,0.63,70.0,35.02
2026-05-23 11:12:25,021225.00,36.624855499999995,127.45749633333335,2,12,0.63,70.1,35
2026-05-23 11:12:26,021226.00,36.62485466666667,127.45749750000002,2,12,0.63,70.3,35
2026-05-23 11:12:27,021227.00,36.62485383333333,127.45749849999999,2,12,0.63,70.4,35.09
2026-05-23 11:12:28,021228.00,36.62485316666667,127.45749933333333,2,12,0.59,70.5,35.18
2026-05-23 11:12:29,021229.00,36.624852499999996,127.45750033333334,2,12,0.59,70.6,35.15
2026-05-23 11:12:30,021230.00,36.624852000000004,127.45750116666667,2,12,0.59,70.6,35.11
2026-05-23 11:12:31,021231.00,36.6248515,127.45750199999999,2,12,0.59,70.7,35.07
2026-05-23 11:12:32,021232.00,36.624851,127.45750283333334,2,12,0.59,70.8,35.09
2026-05-23 11:12:33,021233.00,36.6248505,127.45750366666668,2,12,0.59,70.9,34.76
2026-05-23 11:12:34,021234.00,36.62485,127.45750433333333,2,12,0.6,70.9,35.02
2026-05-23 11:12:35,021235.00,36.624849499999996,127.45750500000001,2,12,0.58,71.0,34.91
2026-05-23 11:12:36,021236.00,36.624849166666664,127.45750566666666,2,12,0.58,71.1,34.8
2026-05-23 11:12:37,021237.00,36.62484866666667,127.45750616666668,2,12,0.56,71.2,34.84
2026-05-23 11:12:38,021238.00,36.62484833333333,127.45750666666666,2,12,0.63,71.3,34.85
2026-05-23 11:12:39,021239.00,36.624848,127.45750716666667,2,12,0.61,71.3,34.91
2026-05-23 11:12:40,021240.00,36.6248475,127.4575075,2,12,0.61,71.4,34.91
2026-05-23 11:12:41,021241.00,36.62484716666667,127.45750799999999,2,12,0.61,71.5,34.91
2026-05-23 11:12:42,021242.00,36.62484683333333,127.45750866666667,2,12,0.61,71.6,35.07
2026-05-23 11:12:43,021243.00,36.6248465,127.45750916666665,2,12,0.61,71.6,35.32
2026-05-23 11:12:44,021244.00,36.62484633333334,127.45750950000001,2,12,0.61,71.6,35.23
2026-05-23 11:12:45,021245.00,36.624846000000005,127.45751,2,12,0.61,71.7,35.2
2026-05-23 11:12:46,021246.00,36.62484583333333,127.45751033333333,2,12,0.61,71.7,35.25
2026-05-23 11:12:47,021247.00,36.62484566666667,127.45751083333334,2,12,0.63,71.7,35.25
2026-05-23 11:12:48,021248.00,36.62484533333333,127.45751116666666,2,12,0.63,71.8,35.3
2026-05-23 11:12:49,021249.00,36.62484516666667,127.4575115,2,12,0.63,71.8,35.37
2026-05-23 11:12:50,021250.00,36.624845,127.45751183333331,2,12,0.63,71.8,35.37
2026-05-23 11:12:51,021251.00,36.624844833333334,127.45751200000001,2,12,0.63,71.9,35.21
2026-05-23 11:12:52,021252.00,36.62484466666667,127.45751216666667,2,12,0.63,71.9,35.33
2026-05-23 11:12:53,021253.00,36.6248445,127.45751249999999,2,12,0.63,71.9,35.3
2026-05-23 11:12:54,021254.00,36.624844333333336,127.45751266666666,2,12,0.63,72.0,35.47
2026-05-23 11:12:55,021255.00,36.62484466666667,127.45751216666667,2,12,0.63,72.0,35.07
2026-05-23 11:12:56,021256.00,36.62484466666667,127.45751249999999,2,12,0.63,72.0,35.39
2026-05-23 11:12:57,021257.00,36.6248445,127.45751266666666,2,12,0.63,72.0,35.37
2026-05-23 11:12:58,021258.00,36.6248445,127.45751299999999,2,12,0.63,72.0,35.3
