pc_time,time_utc,lat,lon,fix_quality,num_sat,hdop,altitude_m,avg_cn0
2026-05-23 11:33:49,023349.00,36.6248445,127.45747850000001,2,12,0.57,69.7,33.07
2026-05-23 11:33:50,023350.00,36.624844333333336,127.45747883333334,2,12,0.57,69.6,32.8
2026-05-23 11:33:51,023351.00,36.6248445,127.45747950000002,2,12,0.6,69.5,33.38
2026-05-23 11:33:52,023352.00,36.624844333333336,127.45747950000002,2,12,0.56,69.6,33.35
2026-05-23 11:33:53,023353.00,36.62484416666667,127.45747966666667,2,12,0.56,69.6,33.37
2026-05-23 11:33:54,023354.00,36.624844,127.45748016666667,2,12,0.56,69.7,33.4
2026-05-23 11:33:55,023355.00,36.62484383333333,127.45748049999999,2,12,0.56,69.8,33.33
2026-05-23 11:33:56,023356.00,36.62484366666667,127.457481,2,12,0.58,69.8,33.4
2026-05-23 11:33:57,023357.00,36.62484366666667,127.4574815,2,12,0.58,69.9,33.27
2026-05-23 11:33:58,023358.00,36.62484366666667,127.45748166666665,2,12,0.58,69.9,33.25
2026-05-23 11:33:59,023359.00,36.624844,127.4574825,2,12,0.58,69.8,33.15
2026-05-23 11:34:00,023400.00,36.624844333333336,127.45748333333334,2,12,0.58,69.7,34.07
2026-05-23 11:34:01,023401.00,36.62484466666667,127.457484,2,12,0.58,69.6,34.09
2026-05-23 11:34:02,023402.00,36.624844833333334,127.45748483333334,2,12,0.59,69.5,34.07
2026-05-23 11:34:03,023403.00,36.62484516666667,127.45748583333334,2,12,0.59,69.5,34.35
2026-05-23 11:34:04,023404.00,36.6248455,127.45748683333335,2,12,0.59,69.4,34.14
2026-05-23 11:34:05,023405.00,36.62484583333333,127.45748766666665,2,12,0.59,69.3,34.03
2026-05-23 11:34:06,023406.00,36.624846166666664,127.45748866666666,2,12,0.59,69.2,34.05
2026-05-23 11:34:07,023407.00,36.6248465,127.45748950000001,2,12,0.59,69.1,34
2026-05-23 11:34:08,023408.00,36.62484683333333,127.4574905,2,12,0.59,69.1,34.05
2026-05-23 11:34:09,023409.00,36.62484716666667,127.45749150000002,2,12,0.59,69.0,33.97
2026-05-23 11:34:10,023410.00,36.62484716666667,127.45749300000001,2,12,0.59,69.0,34.05
2026-05-23 11:34:11,023411.00,36.6248475,127.45749400000001,2,12,0.6,68.9,33.98
2026-05-23 11:34:12,023412.00,36.624847833333334,127.45749483333333,2,12,0.6,68.9,34.03
2026-05-23 11:34:13,023413.00,36.624848166666666,127.45749583333333,2,12,0.59,68.8,33.83
2026-05-23 11:34:14,023414.00,36.624848166666666,127.45749750000002,2,12,0.57,68.9,33.88
2026-05-23 11:34:15,023415.00,36.624848166666666,127.45749900000001,2,12,0.57,68.9,34.18
2026-05-23 11:34:16,023416.00,36.62484833333333,127.4575005,2,12,0.57,68.8,34.26
2026-05-23 11:34:17,023417.00,36.62484866666667,127.4575015,2,12,0.57,68.8,34.16
2026-05-23 11:34:18,023418.00,36.624849000000005,127.45750233333335,2,12,0.57,68.7,33.86
2026-05-23 11:34:19,023419.00,36.62484883333333,127.45750316666665,2,12,0.58,68.8,33.88
2026-05-23 11:34:20,023420.00,36.624849166666664,127.45750516666666,2,12,0.59,68.6,33.84
2026-05-23 11:34:21,023421.00,36.62484933333334,127.45750716666667,2,12,0.59,68.4,33.97
2026-05-23 11:34:22,023422.00,36.624849499999996,127.45750733333334,2,12,0.59,68.4,33.86
2026-05-23 11:34:23,023423.00,36.624849499999996,127.45750766666667,2,12,0.59,68.4,33.76
2026-05-23 11:34:24,023424.00,36.62484966666667,127.45750816666666,2,12,0.59,68.4,33.72
2026-05-23 11:34:25,023425.00,36.62485,127.4575085,2,12,0.59,68.4,33.72
2026-05-23 11:34:26,023426.00,36.624850333333335,127.457509,2,12,0.59,68.3,33.88
2026-05-23 11:34:27,023427.00,36.62485066666667,127.45750966666668,2,12,0.6,68.3,33.9
2026-05-23 11:34:28,023428.00,36.624851166666666,127.45751049999998,2,12,0.6,68.1,33.81
2026-05-23 11:34:29,023429.00,36.6248515,127.45751116666666,2,12,0.6,68.1,33.74
