pc_time,time_utc,lat,lon,fix_quality,num_sat,hdop,altitude_m,avg_cn0,true_label,source_file,distance_m,basic_decision,error_radius_m,proposed_decision,verification_result,valid_points,approval_ratio,mean_lat,mean_lon,mean_distance_m,stability_m,proposed_final_decision
2026-05-23 11:24:33,22433.0,36.62484566666667,127.45748233333332,2,12,0.58,76.1,34.36,inside,realtime_gnss.csv,3.371935288890744,reject,1.0,verify,hold,0,0.0,,,,,reject
2026-05-23 11:24:34,22434.0,36.62484566666667,127.4574825,2,12,0.58,76.1,33.84,inside,realtime_gnss.csv,3.372886438663211,reject,1.0,verify,hold,0,0.0,,,,,reject
2026-05-23 11:24:35,22435.0,36.624846000000005,127.4574825,2,12,0.58,76.0,33.38,inside,realtime_gnss.csv,3.4098711227606446,reject,1.0,verify,fail,3,0.0,36.624845777777786,127.45748244444444,3.384891344602981,0.018118977660538108,reject
2026-05-23 11:24:36,22436.0,36.624846000000005,127.4574825,2,12,0.58,76.0,33.29,inside,realtime_gnss.csv,3.4098711227606446,reject,1.0,verify,fail,4,0.0,36.62484583333334,127.45748245833332,3.3911359797434857,0.01958405621771154,reject
2026-05-23 11:24:37,22437.0,36.62484633333334,127.4574825,2,12,0.58,76.0,33.78,inside,realtime_gnss.csv,3.446857531776912,reject,1.0,verify,fail,5,0.0,36.62484593333333,127.45748246666665,3.4022802895683952,0.024460710759870757,reject
2026-05-23 11:24:38,22438.0,36.62484666666667,127.4574835,2,12,0.61,75.9,34.98,inside,realtime_gnss.csv,3.490696696934877,reject,1.0,verify,fail,6,0.0,36.62484605555556,127.45748263888886,3.4168672751395217,0.043277561896690485,reject
2026-05-23 11:24:39,22439.0,36.62484616666666,127.45748366666666,2,12,0.59,76.0,34.38,inside,realtime_gnss.csv,3.4367100661354884,reject,1.0,verify,fail,7,0.0,36.62484607142857,127.45748278571428,3.41955566124143,0.05364636471063238,reject
2026-05-23 11:24:40,22440.0,36.62484583333333,127.45748383333331,2,12,0.59,76.0,34.21,inside,realtime_gnss.csv,3.4012790177921888,reject,1.0,verify,fail,8,0.0,36.62484604166667,127.45748291666666,3.4171253321498782,0.06088250404873839,reject
2026-05-23 11:24:41,22441.0,36.6248455,127.45748383333331,2,12,0.59,76.0,34.17,inside,realtime_gnss.csv,3.3644040518240237,reject,1.0,verify,fail,9,0.0,36.624845981481485,127.45748301851852,3.4111582580622617,0.06615948398319951,reject
2026-05-23 11:24:42,22442.0,36.62484583333333,127.45748416666666,2,12,0.59,75.9,34.48,inside,realtime_gnss.csv,3.4043994964847104,reject,1.0,verify,fail,10,0.0,36.62484596666667,127.45748313333334,3.410340879337063,0.07031826157044974,reject
2026-05-23 11:24:43,22443.0,36.62484633333334,127.45748416666666,2,12,0.59,75.8,34.17,inside,realtime_gnss.csv,3.459669671336161,reject,1.0,verify,fail,10,0.0,36.62484603333333,127.45748331666667,3.4191063992460418,0.07047038292830303,reject
2026-05-23 11:24:44,22444.0,36.6248465,127.45748383333331,2,12,0.59,75.7,34.7,inside,realtime_gnss.csv,3.475041078490298,reject,1.0,verify,fail,10,0.0,36.62484611666666,127.45748345,3.429385701173633,0.06585323028943854,reject
2026-05-23 11:24:45,22445.0,36.62484683333333,127.45748333333334,2,12,0.59,75.7,34.67,inside,realtime_gnss.csv,3.5078626715241383,reject,1.0,verify,fail,10,0.0,36.6248462,127.45748353333333,3.4392884573301554,0.06273289638070481,reject
