window_size,approval_ratio_threshold,TP,FN,FP,TN,FNR,FPR,TPR,rows
5,0.5,0,0,44,105,0.0,0.2953020134228188,0.0,149
5,0.7,0,0,40,109,0.0,0.2684563758389262,0.0,149
5,0.8,0,0,40,109,0.0,0.2684563758389262,0.0,149
10,0.5,0,0,46,103,0.0,0.3087248322147651,0.0,149
10,0.7,0,0,38,111,0.0,0.2550335570469799,0.0,149
10,0.8,0,0,34,115,0.0,0.22818791946308725,0.0,149
15,0.5,0,0,44,105,0.0,0.2953020134228188,0.0,149
15,0.7,0,0,30,119,0.0,0.20134228187919462,0.0,149
15,0.8,0,0,28,121,0.0,0.18791946308724833,0.0,149
